n	ṅ
āneñjābhisankhāro	āneñjābhisaṅkhāro
āneñjābhisankhāraṃ	āneñjābhisaṅkhāraṃ
āmisasangaho	āmisasaṅgaho
āyusankhayā	āyusaṅkhayā
āyusankhayaṃ	āyusaṅkhayaṃ
āyusankhāro	āyusaṅkhāro
āyusankhārā	āyusaṅkhārā
āyusankhāraṃ	āyusaṅkhāraṃ
āyusankhāre	āyusaṅkhāre
āyusankhāraossajjana	āyusaṅkhāraossajjana
āyusankhārossajjanasutta	āyusaṅkhārossajjanasutta
āraññikangaṃ	āraññikaṅgaṃ
ālingeyya	āliṅgeyya
ālingitvā	āliṅgitvā
ālingetvā	āliṅgetvā
āsankatha	āsaṅkatha
āsankamāno	āsaṅkamāno
āsankī	āsaṅkī
ingālaku	iṅgālaku
ingālakuyā	iṅgālakuyā
ingha	iṅgha
icchānangalaṃ	icchānaṅgalaṃ
icchānangale	icchānaṅgale
icchānangalako	icchānaṅgalako
icchānangalakā	icchānaṅgalakā
icchānangalasutta	icchānaṅgalasutta
icchānangalavanasaṇḍo	icchānaṅgalavanasaṇḍo
icchānangalavanasaṇḍe	icchānaṅgalavanasaṇḍe
itthālankāra	itthālaṅkāra
itthālankāro	itthālaṅkāro
itthālankāraṃ	itthālaṅkāraṃ
itthālankārasikkhāpada	itthālaṅkārasikkhāpada
itthipurisalingapātubhāva	itthipurisaliṅgapātubhāva
itthilingaṃ	itthiliṅgaṃ
iddhābhisankhāraṃ	iddhābhisaṅkhāraṃ
idhūpasankanta	idhūpasaṅkanta
idhūpasankanto	idhūpasaṅkanto
idhūpasankantā	idhūpasaṅkantā
idhūpasankantāni	idhūpasaṅkantāni
indriyabalabojjhangā	indriyabalabojjhaṅgā
isisanghanisevito	isisaṅghanisevito
isisanghanisevitaṃ	isisaṅghanisevitaṃ
uccangamāyo	uccaṅgamāyo
uccālingapāṇakā	uccāliṅgapāṇakā
uccālingapāṇakadaṭṭha	uccāliṅgapāṇakadaṭṭha
uccālingapāṇakadaṭṭhena	uccāliṅgapāṇakadaṭṭhena
uccālingapāṇakadaṭṭhūpatthambhe	uccāliṅgapāṇakadaṭṭhūpatthambhe
ucchangaṃ	ucchaṅgaṃ
ucchange	ucchaṅge
ucchangehi	ucchaṅgehi
ucchangapañño	ucchaṅgapañño
ujjangalanagarakaṃ	ujjaṅgalanagarakaṃ
ujjangalanagarake	ujjaṅgalanagarake
uttamanga	uttamaṅga
uttamange	uttamaṅge
uttarāsango	uttarāsaṅgo
uttarāsangaṃ	uttarāsaṅgaṃ
uttarāsangena	uttarāsaṅgena
uttarāsangehi	uttarāsaṅgehi
uttarāsangassa	uttarāsaṅgassa
uttarāsangasatāni	uttarāsaṅgasatāni
uttarāsangasatehi	uttarāsaṅgasatehi
uttarāsangasatāna	uttarāsaṅgasatāna
uttaribhanga	uttaribhaṅga
uttaribhangaṃ	uttaribhaṅgaṃ
uttaribhange	uttaribhaṅge
uttaribhangena	uttaribhaṅgena
uddesavibhangaṃ	uddesavibhaṅgaṃ
uddesavibhangasutta	uddesavibhaṅgasutta
uddesavibhangasuttaṃ	uddesavibhaṅgasuttaṃ
uddhangamā	uddhaṅgamā
uddhangāminiṃ	uddhaṅgāminiṃ
upadhisankhaye	upadhisaṅkhaye
uparibhāgangamanīyā	uparibhāgaṅgamanīyā
upasankanto	upasaṅkanto
upasankamati	upasaṅkamati
upasankamanti	upasaṅkamanti
upasankamante	upasaṅkamante
upasankamatha	upasaṅkamatha
upasankamāmi	upasaṅkamāmi
upasankamatu	upasaṅkamatu
upasankamantu	upasaṅkamantu
upasankameyya	upasaṅkameyya
upasankameyyuṃ	upasaṅkameyyuṃ
upasankameyyāsi	upasaṅkameyyāsi
upasankameyyāma	upasaṅkameyyāma
upasankameyyaṃ	upasaṅkameyyaṃ
upasankamissati	upasaṅkamissati
upasankamissanti	upasaṅkamissanti
upasankamissasi	upasaṅkamissasi
upasankamissāmi	upasaṅkamissāmi
upasankamissāma	upasaṅkamissāma
upasankamana	upasaṅkamana
upasankamanaṃ	upasaṅkamanaṃ
upasankamanassa	upasaṅkamanassa
upasankamanāya	upasaṅkamanāya
upasankamanto	upasaṅkamanto
upasankamantā	upasaṅkamantā
upasankamantī	upasaṅkamantī
upasankamantena	upasaṅkamantena
upasankamato	upasaṅkamato
upasankami	upasaṅkami
upasankamī	upasaṅkamī
upasankamiṃsu	upasaṅkamiṃsu
upasankamiṃ	upasaṅkamiṃ
upasankamimhā	upasaṅkamimhā
upasankamitabbo	upasaṅkamitabbo
upasankamitabbā	upasaṅkamitabbā
upasankamitabbaṃ	upasaṅkamitabbaṃ
upasankamitabbāni	upasaṅkamitabbāni
upasankamitā	upasaṅkamitā
upasankamitāro	upasaṅkamitāro
upasankamita	upasaṅkamita
upasankamitukāmo	upasaṅkamitukāmo
upasankamituṃ	upasaṅkamituṃ
upasankamitvā	upasaṅkamitvā
upasankamma	upasaṅkamma
upasinghati	upasiṅghati
upasinghasi	upasiṅghasi
upasinghatu	upasiṅghatu
upekkhāsambojjhango	upekkhāsambojjhaṅgo
upekkhāsambojjhangaṃ	upekkhāsambojjhaṅgaṃ
upekkhāsambojjhangassa	upekkhāsambojjhaṅgassa
upekkhāsambojjhangaṭṭhāniyānaṃ	upekkhāsambojjhaṅgaṭṭhāniyānaṃ
upekkhāsambojjhangaṭṭhānīyā	upekkhāsambojjhaṅgaṭṭhānīyā
uposathangāni	uposathaṅgāni
ubhatosanghe	ubhatosaṅghe
ubhatosanghena	ubhatosaṅghena
ubhatosanghassa	ubhatosaṅghassa
ubhatovibhange	ubhatovibhaṅge
ummango	ummaṅgo
ummangaṃ	ummaṅgaṃ
ullanghanā	ullaṅghanā
ullangheti	ullaṅgheti
ullanghenti	ullaṅghenti
ussankitaparisankito	ussaṅkitaparisaṅkito
ussankitasutta	ussaṅkitasutta
ussankī	ussaṅkī
ussankiṃ	ussaṅkiṃ
ussankhapāda	ussaṅkhapāda
ussankhapādo	ussaṅkhapādo
ussoḷhipannarasangasamannāgato	ussoḷhipannarasaṅgasamannāgato
uḷunkaṃ	uḷuṅkaṃ
ūnakadvangulapabbe	ūnakadvaṅgulapabbe
ūnakadvangulapabbaparamaṃ	ūnakadvaṅgulapabbaparamaṃ
ekanga	ekaṅga
ekangaṃ	ekaṅgaṃ
ekangadassī	ekaṅgadassī
ekangadassino	ekaṅgadassino
ekangahīna	ekaṅgahīna
ekangahīnā	ekaṅgahīnā
ekapallankena	ekapallaṅkena
ekekalomūpacitangavā	ekekalomūpacitaṅgavā
eṇijangho	eṇijaṅgho
eṇijanghaṃ	eṇijaṅghaṃ
eṇijanghena	eṇijaṅghena
eṇijanghalakkhaṇaṃ	eṇijaṅghalakkhaṇaṃ
eṇijanghasutta	eṇijaṅghasutta
eṇeyyajangho	eṇeyyajaṅgho
etankāraṇā	etaṅkāraṇā
evankāmā	evaṅkāmā
evankāmānaṃ	evaṅkāmānaṃ
evankārī	evaṅkārī
evangatāni	evaṅgatāni
evangatikā	evaṅgatikā
evangahitā	evaṅgahitā
evangotta	evaṅgotta
evangotto	evaṅgotto
evangottā	evaṅgottā
evaṃsankhāro	evaṃsaṅkhāro
odātālankāra	odātālaṅkāra
odātālankārā	odātālaṅkārā
olanghanā	olaṅghanā
olangheti	olaṅgheti
olanghenti	olaṅghenti
ovādūpasankamanaṃ	ovādūpasaṅkamanaṃ
ovādūpasankamanasikkhāpada	ovādūpasaṅkamanasikkhāpada
kanka	kaṅka
kanko	kaṅko
kankā	kaṅkā
kankehi	kaṅkehi
kankassa	kaṅkassa
kankaṇaṃ	kaṅkaṇaṃ
kankhacchida	kaṅkhacchida
kankhachidaṃ	kaṅkhachidaṃ
kankhati	kaṅkhati
kankhanti	kaṅkhanti
kankhasi	kaṅkhasi
kankhāmi	kaṅkhāmi
kankha	kaṅkha
kankheyya	kaṅkheyya
kankhetha	kaṅkhetha
kankheyyaṃ	kaṅkheyyaṃ
kankhanīya	kaṅkhanīya
kankhanīye	kaṅkhanīye
kankhā	kaṅkhā
kankhaṃ	kaṅkhaṃ
kankhato	kaṅkhato
kankhāṭṭhāniyesu	kaṅkhāṭṭhāniyesu
kankhāṭhāniyesu	kaṅkhāṭhāniyesu
kankhāṭhānīyesu	kaṅkhāṭhānīyesu
kankhādhammo	kaṅkhādhammo
kankhādhammaṃ	kaṅkhādhammaṃ
kankhāyitaṃ	kaṅkhāyitaṃ
kankhārevata	kaṅkhārevata
kankhārevato	kaṅkhārevato
kankhārevataṃ	kaṅkhārevataṃ
kankhārevatattheragāthā	kaṅkhārevatattheragāthā
kankhārevatasutta	kaṅkhārevatasutta
kankhāvitaraṇavisuddhatthā	kaṅkhāvitaraṇavisuddhatthā
kankhāvitaraṇavisuddhatthaṃ	kaṅkhāvitaraṇavisuddhatthaṃ
kankhāvitaraṇavisuddhi	kaṅkhāvitaraṇavisuddhi
kankhāvitaraṇavisuddhiṃ	kaṅkhāvitaraṇavisuddhiṃ
kankhi	kaṅkhi
kankhī	kaṅkhī
kankhīnaṃ	kaṅkhīnaṃ
kankhita	kaṅkhita
kankhitā	kaṅkhitā
kankhitaṃ	kaṅkhitaṃ
kankhituṃ	kaṅkhituṃ
kankhivicikicchisandosahetu	kaṅkhivicikicchisandosahetu
kankheyyasutta	kaṅkheyyasutta
kangu	kaṅgu
kajangalāyaṃ	kajaṅgalāyaṃ
kaṭṭhakatangāre	kaṭṭhakataṅgāre
kaṇhasankhātā	kaṇhasaṅkhātā
katangasamannāgataṃ	kataṅgasamannāgataṃ
katangavippahīnaṃ	kataṅgavippahīnaṃ
katiangikaṃ	katiaṅgikaṃ
kathankathā	kathaṅkathā
kathankathāhi	kathaṅkathāhi
kathankathī	kathaṅkathī
kathankathiṃ	kathaṅkathiṃ
kathankaro	kathaṅkaro
kathangotto	kathaṅgotto
kathangottā	kathaṅgottā
kammakārakasanghaṃ	kammakārakasaṅghaṃ
kammakārakasanghe	kammakārakasaṅghe
kariyacariyasusangahaṃ	kariyacariyasusaṅgahaṃ
kalingaṃ	kaliṅgaṃ
kalingassa	kaliṅgassa
kalingānaṃ	kaliṅgānaṃ
kalingaro	kaliṅgaro
kalingaraṃ	kaliṅgaraṃ
kalingarasutta	kaliṅgarasutta
kalingarūpadhānā	kaliṅgarūpadhānā
kalyāṇasangatiko	kalyāṇasaṅgatiko
kalyāṇasampavanko	kalyāṇasampavaṅko
kalyāṇasampavankassa	kalyāṇasampavaṅkassa
kalyāṇasampavankatā	kalyāṇasampavaṅkatā
kalyāṇasampavankata	kalyāṇasampavaṅkata
kaḷingaraṃ	kaḷiṅgaraṃ
kāmankaro	kāmaṅkaro
kāmangamo	kāmaṅgamo
kāmasankappo	kāmasaṅkappo
kāmasankappaṃ	kāmasaṅkappaṃ
kāmasankappabahulo	kāmasaṅkappabahulo
kāyaduccaritasamangī	kāyaduccaritasamaṅgī
kāyasankhāro	kāyasaṅkhāro
kāyasankhārā	kāyasaṅkhārā
kāyasankhāraṃ	kāyasaṅkhāraṃ
kāyasankhāre	kāyasaṅkhāre
kāyasankhārānaṃ	kāyasaṅkhārānaṃ
kāyasucaritasamangī	kāyasucaritasamaṅgī
kāyavanko	kāyavaṅko
kāyavankaṃ	kāyavaṅkaṃ
kāyavankānaṃ	kāyavaṅkānaṃ
kārakasanghaṃ	kārakasaṅghaṃ
kālankata	kālaṅkata
kālankato	kālaṅkato
kālankatā	kālaṅkatā
kālankataṃ	kālaṅkataṃ
kālankatāni	kālaṅkatāni
kālankate	kālaṅkate
kālankatehi	kālaṅkatehi
kālankatāya	kālaṅkatāya
kālankatassa	kālaṅkatassa
kālankatānaṃ	kālaṅkatānaṃ
kālankatesu	kālaṅkatesu
kālankatapurisa	kālaṅkatapurisa
kālankareyya	kālaṅkareyya
kālankiriyā	kālaṅkiriyā
kālankiriyāya	kālaṅkiriyāya
kālankiriya	kālaṅkiriya
kālapabbangasankāso	kālapabbaṅgasaṅkāso
kālingassa	kāliṅgassa
kālingarañño	kāliṅgarañño
kālingāraññaṃ	kāliṅgāraññaṃ
kinkankhati	kiṅkaṅkhati
kinkaṇikasaddo	kiṅkaṇikasaddo
kinkato	kiṅkato
kinkaraṇīyāni	kiṅkaraṇīyāni
kinkaraṇīyesu	kiṅkaraṇīyesu
kinkārapaṭissāvī	kiṅkārapaṭissāvī
kinkārapaṭissāvinī	kiṅkārapaṭissāvinī
kinkārapaṭissāviniyo	kiṅkārapaṭissāviniyo
kinkiṇikajālehi	kiṅkiṇikajālehi
kinkiṇikajālānaṃ	kiṅkiṇikajālānaṃ
kinkiṇikā	kiṅkiṇikā
kinkusalagavesī	kiṅkusalagavesī
kinkusalānuesī	kiṅkusalānuesī
kingatikā	kiṅgatikā
kimangaṃ	kimaṅgaṃ
kukkurasanghaṃ	kukkurasaṅghaṃ
kukkurasanghaparivutā	kukkurasaṅghaparivutā
kulankapādakaṃ	kulaṅkapādakaṃ
kulangāro	kulaṅgāro
kusalasankappā	kusalasaṅkappā
kusalasankhātā	kusalasaṅkhātā
kūṭangamā	kūṭaṅgamā
kotūhalamangalāni	kotūhalamaṅgalāni
kotūhalamangalena	kotūhalamaṅgalena
kotūhalamangaliko	kotūhalamaṅgaliko
kolankolo	kolaṅkolo
kolankolassa	kolaṅkolassa
khaḷunko	khaḷuṅko
khaḷunkena	khaḷuṅkena
khaḷunkajhāyitaṃ	khaḷuṅkajhāyitaṃ
khemankaro	khemaṅkaro
khemankarassa	khemaṅkarassa
gangā	gaṅgā
gangaṃ	gaṅgaṃ
gangāya	gaṅgāya
ganga	gaṅga
gangātīre	gaṅgātīre
gangātīriyattheragāthā	gaṅgātīriyattheragāthā
gangānadiṃ	gaṅgānadiṃ
gangānadīādisutta	gaṅgānadīādisutta
gangānadīādisuttadvādasaka	gaṅgānadīādisuttadvādasaka
gangāpeyyālaṃ	gaṅgāpeyyālaṃ
gangāpeyyālavagga	gaṅgāpeyyālavagga
gangāpeyyālavaggo	gaṅgāpeyyālavaggo
gangāsamena	gaṅgāsamena
gangāsutta	gaṅgāsutta
gangāsoto	gaṅgāsoto
gangodakaṃ	gaṅgodakaṃ
gajangalaṃ	gajaṅgalaṃ
gajangalāyaṃ	gajaṅgalāyaṃ
gaṇasanghacārī	gaṇasaṅghacārī
gaṇācariyasāvakasangha	gaṇācariyasāvakasaṅgha
gaṇācariyasāvakasanghā	gaṇācariyasāvakasaṅghā
gamiyābhisankhāro	gamiyābhisaṅkhāro
gihilinge	gihiliṅge
gihilingena	gihiliṅgena
gotamasāvakasangho	gotamasāvakasaṅgho
gonangula	gonaṅgula
gopānasivanko	gopānasivaṅko
gopānasivankaṃ	gopānasivaṅkaṃ
gosingo	gosiṅgo
gosingasālavanaṃ	gosiṅgasālavanaṃ
gosingasālavanadāyo	gosiṅgasālavanadāyo
gosingasālavanadāye	gosiṅgasālavanadāye
cankamo	caṅkamo
cankamā	caṅkamā
cankamaṃ	caṅkamaṃ
cankame	caṅkame
cankamena	caṅkamena
cankamāya	caṅkamāya
cankamato	caṅkamato
cankamati	caṅkamati
cankamanti	caṅkamanti
cankamante	caṅkamante
cankamāmi	caṅkamāmi
cankamantaṃ	caṅkamantaṃ
cankameyya	caṅkameyya
cankameyyaṃ	caṅkameyyaṃ
cankamissanti	caṅkamissanti
cankamissāmi	caṅkamissāmi
cankamana	caṅkamana
cankamanasālā	caṅkamanasālā
cankamanasālāyo	caṅkamanasālāyo
cankamanasālaṃ	caṅkamanasālaṃ
cankamanasālāyaṃ	caṅkamanasālāyaṃ
cankamanto	caṅkamanto
cankamantā	caṅkamantā
cankamatī	caṅkamatī
cankamantī	caṅkamantī
cankamantassa	caṅkamantassa
cankamantānaṃ	caṅkamantānaṃ
cankamamāno	caṅkamamāno
cankamamāne	caṅkamamāne
cankamamānesu	caṅkamamānesu
cankamasutta	caṅkamasutta
cankamādhigato	caṅkamādhigato
cankami	caṅkami
cankamiṃ	caṅkamiṃ
cankamitvā	caṅkamitvā
cankī	caṅkī
cankiṃ	caṅkiṃ
cankissa	caṅkissa
cankīsutta	caṅkīsutta
cankīsuttaṃ	caṅkīsuttaṃ
cangavāro	caṅgavāro
cangavāraṃ	caṅgavāraṃ
catutthasanghādisesasikkhāpadaṃ	catutthasaṅghādisesasikkhāpadaṃ
caturanga	caturaṅga
caturangasamannāgataṃ	caturaṅgasamannāgataṃ
caturanginī	caturaṅginī
caturanginiṃ	caturaṅginiṃ
caturanginiyā	caturaṅginiyā
caturangula	caturaṅgula
caturangulaṃ	caturaṅgulaṃ
caturangule	caturaṅgule
caturangulikā	caturaṅgulikā
caturangulomako	caturaṅgulomako
caturāsītipallankasahassāni	caturāsītipallaṅkasahassāni
candanangalika	candanaṅgalika
candanangaliko	candanaṅgaliko
candanangalikā	candanaṅgalikā
candanangalikaṃ	candanaṅgalikaṃ
cingulakaṃ	ciṅgulakaṃ
cingulakena	ciṅgulakena
cingulāyitvā	ciṅgulāyitvā
cingulikaṃ	ciṅgulikaṃ
cittapārisuddhipadhāniyangaṃ	cittapārisuddhipadhāniyaṅgaṃ
cittapārisuddhipadhāniyangena	cittapārisuddhipadhāniyaṅgena
cittasankappo	cittasaṅkappo
cittasankilesā	cittasaṅkilesā
cittasankhāro	cittasaṅkhāro
cittasankhārā	cittasaṅkhārā
cittasankhāraṃ	cittasaṅkhāraṃ
cittasankhārānaṃ	cittasaṅkhārānaṃ
cittasankhārapaṭisaṃvedī	cittasaṅkhārapaṭisaṃvedī
cittasankhārappaṭisaṃvedī	cittasaṅkhārappaṭisaṃvedī
cittasamādhipadhānasankhārasamannāgataṃ	cittasamādhipadhānasaṅkhārasamannāgataṃ
cittasamādhippadhānasankhārasamannāgato	cittasamādhippadhānasaṅkhārasamannāgato
cittasamādhippadhānasankhārasamannāgataṃ	cittasamādhippadhānasaṅkhārasamannāgataṃ
cittālankāracittaparikkhāraṃ	cittālaṅkāracittaparikkhāraṃ
cittālankāracittaparikkhāratthaṃ	cittālaṅkāracittaparikkhāratthaṃ
cīvarasankamanīyaṃ	cīvarasaṅkamanīyaṃ
cīvarasankamanīyasikkhāpada	cīvarasaṅkamanīyasikkhāpada
cīvaravibhango	cīvaravibhaṅgo
cīvaravibhangaṃ	cīvaravibhaṅgaṃ
cūḷakammavibhangasutta	cūḷakammavibhaṅgasutta
cūḷakammavibhangasuttaṃ	cūḷakammavibhaṅgasuttaṃ
cūḷagosingasutta	cūḷagosiṅgasutta
cūḷagosingasuttaṃ	cūḷagosiṅgasuttaṃ
cūḷataṇhāsankhayasutta	cūḷataṇhāsaṅkhayasutta
cūḷataṇhāsankhayasuttaṃ	cūḷataṇhāsaṅkhayasuttaṃ
chaṭṭhasanghādisesasikkhāpadaṃ	chaṭṭhasaṅghādisesasikkhāpadaṃ
chadhātuvibhangaṃ	chadhātuvibhaṅgaṃ
chandasamādhipadhānasankhārasamannāgataṃ	chandasamādhipadhānasaṅkhārasamannāgataṃ
chandasamādhippadhānasankhārasamannāgato	chandasamādhippadhānasaṅkhārasamannāgato
chandasamādhippadhānasankhārasamannāgataṃ	chandasamādhippadhānasaṅkhārasamannāgataṃ
chaḷangadānasutta	chaḷaṅgadānasutta
chaḷangasamannāgato	chaḷaṅgasamannāgato
chaḷangasamannāgatā	chaḷaṅgasamannāgatā
chaḷangasamannāgataṃ	chaḷaṅgasamannāgataṃ
chaḷangasamannāgatāya	chaḷaṅgasamannāgatāya
jangalaṃ	jaṅgalaṃ
jangalānaṃ	jaṅgalānaṃ
jangha	jaṅgha
janghā	jaṅghā
janghāyo	jaṅghāyo
janghaṃ	jaṅghaṃ
janghāhi	jaṅghāhi
janghāsu	jaṅghāsu
janghaṭṭhikaṃ	jaṅghaṭṭhikaṃ
janghapesanikena	jaṅghapesanikena
janghavihāraṃ	jaṅghavihāraṃ
janghāvihāraṃ	jaṅghāvihāraṃ
jangheyyaka	jaṅgheyyaka
jangheyyakaṃ	jaṅgheyyakaṃ
jaṭāpanko	jaṭāpaṅko
jarasingālo	jarasiṅgālo
jarasingāle	jarasiṅgāle
jarasingālassa	jarasiṅgālassa
jātimaraṇasankhaye	jātimaraṇasaṅkhaye
jātivibhangaṃ	jātivibhaṅgaṃ
jīvitasankhayā	jīvitasaṅkhayā
jīvitasankhayamhi	jīvitasaṅkhayamhi
jīvitasankhāraṃ	jīvitasaṅkhāraṃ
jegucchasankhāto	jegucchasaṅkhāto
jegucchasankhātā	jegucchasaṅkhātā
ñātisangha	ñātisaṅgha
ñātisanghā	ñātisaṅghā
ñātisanghaṃ	ñātisaṅghaṃ
ṭankitamañce	ṭaṅkitamañce
tankhaṇikā	taṅkhaṇikā
tankhaṇikaṃ	taṅkhaṇikaṃ
tankhaṇikāya	taṅkhaṇikāya
tankhaṇikāyaṃ	taṅkhaṇikāyaṃ
tankhantikā	taṅkhantikā
taṇhāsankhayasutta	taṇhāsaṅkhayasutta
taṇhāsankhayavimutto	taṇhāsaṅkhayavimutto
taṇhāsankhayavimuttā	taṇhāsaṅkhayavimuttā
taṇhāsankhayavimuttassa	taṇhāsaṅkhayavimuttassa
taṇhāsankhayavimuttiṃ	taṇhāsaṅkhayavimuttiṃ
tatiyasanghādisesasikkhāpadaṃ	tatiyasaṅghādisesasikkhāpadaṃ
tatiyavibhangasutta	tatiyavibhaṅgasutta
tathāgatasāvakasangho	tathāgatasāvakasaṅgho
tadanga	tadaṅga
tadangena	tadaṅgena
tadanganibbānasutta	tadaṅganibbānasutta
tadanganibbuto	tadaṅganibbuto
tadatthangataṃ	tadatthaṅgataṃ
tamabhikankhati	tamabhikaṅkhati
tamabhikankhāmi	tamabhikaṅkhāmi
tiṇodakasankhaye	tiṇodakasaṅkhaye
tiporisangā	tiporisaṅgā
timingalo	timiṅgalo
timitimingalo	timitimiṅgalo
timirapingalo	timirapiṅgalo
tiriyangamāni	tiriyaṅgamāni
tilasanguḷikā	tilasaṅguḷikā
tilasanguḷika	tilasaṅguḷika
tunganāsikaṃ	tuṅganāsikaṃ
tenangena	tenaṅgena
tenupasankanto	tenupasaṅkanto
tenupasankamati	tenupasaṅkamati
tenupasankamanti	tenupasaṅkamanti
tenupasankamante	tenupasaṅkamante
tenupasankamatha	tenupasaṅkamatha
tenupasankamatu	tenupasaṅkamatu
tenupasankama	tenupasaṅkama
tenupasankameyya	tenupasaṅkameyya
tenupasankameyyuṃ	tenupasaṅkameyyuṃ
tenupasankameyyāma	tenupasaṅkameyyāma
tenupasankameyyaṃ	tenupasaṅkameyyaṃ
tenupasankamissāmi	tenupasaṅkamissāmi
tenupasankamissāma	tenupasaṅkamissāma
tenupasankamantī	tenupasaṅkamantī
tenupasankami	tenupasaṅkami
tenupasankamiṃsu	tenupasaṅkamiṃsu
tenupasankamiṃ	tenupasaṅkamiṃ
tenupasankamimha	tenupasaṅkamimha
tenupasankamimhā	tenupasaṅkamimhā
theyyasankhātaṃ	theyyasaṅkhātaṃ
dakkhiṇāvibhangasutta	dakkhiṇāvibhaṅgasutta
dakkhiṇāvibhangasuttaṃ	dakkhiṇāvibhaṅgasuttaṃ
dasangasamannāgato	dasaṅgasamannāgato
dasangasutta	dasaṅgasutta
dasamasanghādisesasikkhāpadaṃ	dasamasaṅghādisesasikkhāpadaṃ
dāruvankānaṃ	dāruvaṅkānaṃ
diṭṭhasutamutaviññātabbasankhāramattena	diṭṭhasutamutaviññātabbasaṅkhāramattena
diṭṭhipārisuddhipadhāniyangaṃ	diṭṭhipārisuddhipadhāniyaṅgaṃ
diṭṭhipārisuddhipadhāniyangena	diṭṭhipārisuddhipadhāniyaṅgena
dinnapāṭikankhī	dinnapāṭikaṅkhī
disangataṃ	disaṅgataṃ
disangamika	disaṅgamika
disangamiko	disaṅgamiko
disangamikā	disaṅgamikā
dīghanguli	dīghaṅguli
dīghangulī	dīghaṅgulī
duggandhasankhāto	duggandhasaṅkhāto
duggandhasankhātā	duggandhasaṅkhātā
dutiyagangāpeyyālavagga	dutiyagaṅgāpeyyālavagga
dutiyasangāmasutta	dutiyasaṅgāmasutta
dutiyasanghādisesasikkhāpadaṃ	dutiyasaṅghādisesasikkhāpadaṃ
dutiyasanghikacetāpanasikkhāpada	dutiyasaṅghikacetāpanasikkhāpada
dutiyasingālasutta	dutiyasiṅgālasutta
dutiyavibhangasutta	dutiyavibhaṅgasutta
dummanku	dummaṅku
dummankūnaṃ	dummaṅkūnaṃ
dummankuyaṃ	dummaṅkuyaṃ
durupasankamā	durupasaṅkamā
dūrangama	dūraṅgama
dūrangamo	dūraṅgamo
dūrangamā	dūraṅgamā
dūrangamaṃ	dūraṅgamaṃ
devāsurasangāmo	devāsurasaṅgāmo
devāsurasangāme	devāsurasaṅgāme
devāsurasangāmasutta	devāsurasaṅgāmasutta
dvangulā	dvaṅgulā
dvangulāya	dvaṅgulāya
dvangulakappo	dvaṅgulakappo
dvangulapaññāya	dvaṅgulapaññāya
dvangulapabbaparamaṃ	dvaṅgulapabbaparamaṃ
dhanka	dhaṅka
dhankaṃ	dhaṅkaṃ
dhankarūpā	dhaṅkarūpā
dhammasankappo	dhammasaṅkappo
dhammasankappaṃ	dhammasaṅkappaṃ
dhammasangaho	dhammasaṅgaho
dhammavicayasambojjhango	dhammavicayasambojjhaṅgo
dhammavicayasambojjhangaṃ	dhammavicayasambojjhaṅgaṃ
dhammavicayasambojjhangassa	dhammavicayasambojjhaṅgassa
dhātuvibhangassa	dhātuvibhaṅgassa
dhātuvibhangasutta	dhātuvibhaṅgasutta
dhātuvibhangasuttaṃ	dhātuvibhaṅgasuttaṃ
dhutanga	dhutaṅga
dhutangā	dhutaṅgā
dhutangava	dhutaṅgava
naalamariyasankhātā	naalamariyasaṅkhātā
nagarapaṭisankhārikāni	nagarapaṭisaṅkhārikāni
nangala	naṅgala
nangalaṃ	naṅgalaṃ
nangalā	naṅgalā
nangalena	naṅgalena
nangalehi	naṅgalehi
nangalakaṭṭhakaraṇaṃ	naṅgalakaṭṭhakaraṇaṃ
nangalamukhāni	naṅgalamukhāni
nangalasatāni	naṅgalasatāni
nangalāvattanī	naṅgalāvattanī
nangalīsā	naṅgalīsā
nangalīsa	naṅgalīsa
nanguṭṭhaṃ	naṅguṭṭhaṃ
nanguṭṭhe	naṅguṭṭhe
nanguṭṭhena	naṅguṭṭhena
nappaṭikankhati	nappaṭikaṅkhati
nappaṭikankhe	nappaṭikaṅkhe
naragaṇasanghasevitā	naragaṇasaṅghasevitā
navanga	navaṅga
navanguposathasutta	navaṅguposathasutta
navamasanghādisesasikkhāpadaṃ	navamasaṅghādisesasikkhāpadaṃ
nākankhati	nākaṅkhati
nākankhāmi	nākaṅkhāmi
nākankhissati	nākaṅkhissati
nābhisankharonti	nābhisaṅkharonti
nālankammaniyaṃ	nālaṅkammaniyaṃ
nāvakankhanti	nāvakaṅkhanti
nāvakankhāmi	nāvakaṅkhāmi
nāḷijangho	nāḷijaṅgho
nāḷijanghaṃ	nāḷijaṅghaṃ
nikkankho	nikkaṅkho
nikkankhā	nikkaṅkhā
nikkankhassa	nikkaṅkhassa
niṭṭhangato	niṭṭhaṅgato
niṭṭhangatasutta	niṭṭhaṅgatasutta
nibbānangamā	nibbānaṅgamā
niyatisangatibhāvapariṇatā	niyatisaṅgatibhāvapariṇatā
nirankato	niraṅkato
nirankatvā	niraṅkatvā
nisankhati	nisaṅkhati
nīlālankāra	nīlālaṅkāra
nīlālankārā	nīlālaṅkārā
nupasankheyyo	nupasaṅkheyyo
nekkhammasankappo	nekkhammasaṅkappo
nekkhammasankappaṃ	nekkhammasaṅkappaṃ
nekkhammasankappabahulo	nekkhammasaṅkappabahulo
nemangamā	nemaṅgamā
nelango	nelaṅgo
nelangaṃ	nelaṅgaṃ
pakkhasankanto	pakkhasaṅkanto
pakkhasankantā	pakkhasaṅkantā
